ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
400233,0.32844872233075917,0.8205887958302225,Larson,Democrat,moderate Democratic leader,7,134,265,529
400271,0.15877551311175092,0.46624797875404556,Meeks,Democrat,progressive Democrat,6,271,91,147
412195,0.2251187199241437,0.8378212343278099,Castor,Democrat,moderate Democratic leader,11,236,382,578
412529,0.2867542065068464,0.7315607323995026,Frankel,Democrat,rank-and-file Democrat,11,134,197,390
412565,0.30922103642811777,0.6524912191751687,Beatty,Democrat,rank-and-file Democrat,20,219,123,300
412512,0.3774036719485618,0.5074529008633433,Bera,Democrat,centrist Democrat,5,151,162,181
412652,0.3138618860257743,0.4874226586528018,Boyle,Democrat,rank-and-file Democrat,13,224,105,137
412537,0.38353326274835037,0.5965467149107945,Bustos,Democrat,centrist Democrat,8,146,96,123
412576,0.2940583144477405,0.6577498277366671,Castro,Democrat,rank-and-file Democrat,12,111,250,350
400081,0.36542992264158297,0.31263256821798,Cooper,Democrat,centrist Democrat,3,177,22,23
400101,0.2680684135896051,0.6951428903287888,DeGette,Democrat,rank-and-file Democrat,16,191,148,216
400124,0.25267931135664295,0.6575068351909067,Eshoo,Democrat,rank-and-file Democrat,17,265,164,358
412257,0.2903722486666701,0.589783430691709,Foster,Democrat,rank-and-file Democrat,19,207,94,126
412327,0.18945694338894803,0.5116082427293402,Fudge,Democrat,progressive Democrat,7,163,87,137
412532,0.3276269750240759,0.7502209810847725,Gabbard,Democrat,rank-and-file Democrat,10,220,208,265
412612,0.2463406295077931,0.5364894799475035,Gallego,Democrat,rank-and-file Democrat,10,298,142,201
412382,0.2949687531189537,0.7744697519258071,Garamendi,Democrat,moderate Democratic leader,18,271,314,611
400211,0.29146534280795566,0.6020970418158529,Kaptur,Democrat,rank-and-file Democrat,12,205,107,142
400218,0.5256572678463195,0.8613486460963707,Kind,Democrat,centrist Democratic leader,29,192,351,876
412286,0.3987827867267518,0.3068086243524151,Kirkpatrick,Democrat,centrist Democrat,3,172,94,102
412557,0.3903997867020051,0.4937168269571602,Kuster,Democrat,centrist Democrat,13,374,75,96
400246,0.23105762549439937,0.7119825251630061,Lowey,Democrat,rank-and-file Democrat,15,158,189,209
400249,0.25220842919680175,0.8642803587419856,Lynch,Democrat,moderate Democratic leader,14,183,338,516
400663,0.24165733790082602,0.5222503227401647,Matsui,Democrat,rank-and-file Democrat,14,191,129,181
412189,0.1824367193037088,0.37371467091381533,McNerney,Democrat,progressive Democrat,7,215,32,35
412560,0.2533221043497949,0.785284428575224,Meng,Democrat,moderate Democratic leader,22,317,194,493
412506,0.1684488280453441,0.7108168074772483,Payne,Democrat,progressive Democrat,14,250,285,422
412192,0.34931046721081876,0.5479285053245889,Perlmutter,Democrat,centrist Democrat,7,182,212,221
412307,0.3061658553256136,0.4503892578170222,Pingree,Democrat,rank-and-file Democrat,10,346,73,98
400350,0.21800631351592686,0.5489718833769022,Rush,Democrat,rank-and-file Democrat,19,363,167,290
400352,0.34064795882564924,0.5583046480956418,Ryan,Democrat,rank-and-file Democrat,26,297,110,167
400355,0.23326382969133613,0.7250399162042995,Sánchez,Democrat,rank-and-file Democrat,17,159,111,148
412212,0.2539250408315325,0.6854303691378043,Sarbanes,Democrat,rank-and-file Democrat,4,166,246,324
400364,0.17076474683489848,0.8564906528862852,Scott [VA3],Democrat,progressive Democratic leader,12,149,245,834
412396,0.32783836276884604,0.8292748151141809,Sewell,Democrat,moderate Democratic leader,14,200,323,586
400403,0.34762588511634795,0.8927555795256787,Thompson [CA5],Democrat,centrist Democratic leader,28,168,298,659
412319,0.2605229970474904,0.7588490313605506,Tonko,Democrat,moderate Democratic leader,13,280,281,623
412617,0.26293492540896557,0.5813233302769124,Torres,Democrat,rank-and-file Democrat,15,173,173,241
412644,0.086406988038745,0.5957537764349111,Watson Coleman,Democrat,progressive Democrat,12,326,111,192
412211,0.2536701763801752,0.4456284599199034,Yarmuth,Democrat,rank-and-file Democrat,7,190,37,46
400030,0.4165437236558843,0.3422836611374946,Bishop [GA2],Democrat,centrist Democrat,6,187,28,29
412622,0.8565685639737274,0.6574652284900077,Carter [GA1],Republican,conservative Republican,8,102,105,129
412531,0.7058334809711616,0.8137566692324504,Collins [GA9],Republican,moderate Republican leader,13,62,135,215
412193,0.37320662705132307,0.9109538038062973,Courtney,Democrat,centrist Democratic leader,13,164,387,822
412460,0.8355086314400852,0.49604037920368815,Johnson [OH6],Republican,conservative Republican,2,114,12,12
400659,0.6651587940277345,0.8049832787161315,McMorris Rodgers,Republican,moderate Republican leader,5,118,84,103
412632,0.3065830357321675,0.7514030482838782,Moulton,Democrat,rank-and-file Democrat,12,273,193,250
400363,0.3704538643019318,0.5007852359674391,Scott [GA13],Democrat,centrist Democrat,8,134,98,111
400414,0.5625891440038038,0.7124089903658908,Upton,Republican,centrist Republican leader,4,91,305,313
412312,0.25106412777437,0.5354434980762488,Sablan,Democrat,rank-and-file Democrat,8,125,224,235
412552,0.9632611923617193,0.5228311222604669,Meadows,Republican,conservative Republican,20,258,57,73
412655,0.9913284379402121,0.7235770817938078,Babin,Republican,conservative Republican leader,12,107,179,267
400052,0.7377642661761047,0.654627035579012,Burgess,Republican,rank-and-file Republican,18,59,64,71
412477,0.8884478231889299,0.32562993071994517,DesJarlais,Republican,conservative Republican,4,94,12,18
400655,0.752875442222897,0.835610839930251,Conaway,Republican,moderate Republican leader,17,70,130,215
412625,0.8953203306532554,0.2708377300725462,Allen,Republican,conservative Republican,3,89,2,2
412500,0.7335858873471532,0.49259773917868127,Amodei,Republican,rank-and-file Republican,6,60,41,41
412541,0.8953970527506513,0.7007699791898867,Barr,Republican,conservative Republican leader,5,88,33,34
412250,0.7458385085846487,0.7261479727761735,Bilirakis,Republican,moderate Republican leader,9,146,103,108
412629,0.7369088316611265,0.4594640446630522,Bost,Republican,rank-and-file Republican,4,103,52,61
400046,0.6525992096851874,0.7392626365814461,Brady,Republican,moderate Republican leader,2,57,70,70
412395,0.8725221670944502,0.4306836936323386,Brooks [AL5],Republican,conservative Republican,6,91,56,87
412196,0.5625895723731456,0.6673764600526466,Buchanan,Republican,centrist Republican,10,70,52,60
412427,0.7320164505286729,0.4387937024549911,Bucshon,Republican,rank-and-file Republican,3,61,30,30
400057,0.6916160120363375,0.465058546048657,Calvert,Republican,rank-and-file Republican,14,79,70,82
400071,0.8546580124091268,0.7668666897662334,Chabot,Republican,conservative Republican leader,14,148,96,113
412676,0.6040155640618045,0.20620636942382892,Comer,Republican,rank-and-file Republican,2,66,3,3
412400,0.7502947209038262,0.40257717095780976,Crawford,Republican,rank-and-file Republican,6,61,6,9
400657,0.576741978236461,0.3555486307805893,Cuellar,Democrat,centrist Democrat,6,110,22,29
412536,0.7501504461484612,0.8497327582318153,Davis [IL13],Republican,moderate Republican leader,11,170,225,265
400100,0.36726690514022875,0.8669248495459588,DeFazio,Democrat,centrist Democratic leader,27,314,342,806
412488,0.6937474453747436,0.6246109588993971,Duffy,Republican,rank-and-file Republican,8,58,80,92
412639,0.7980425554297154,0.4021864777458332,Emmer,Republican,rank-and-file Republican,7,90,25,27
412480,0.8783096486083327,0.5684486670976124,Flores,Republican,conservative Republican,6,108,5,5
400640,0.7031103010797295,0.7606573930798813,Fortenberry,Republican,moderate Republican leader,10,99,93,99
400643,0.5664313963373555,0.6234789645741412,Foxx,Republican,centrist Republican,9,26,116,147
412463,0.8959211802056526,0.5328370740675066,Gibbs,Republican,conservative Republican,13,121,75,110
412397,1.0,0.7454827438169388,Gosar,Republican,conservative Republican leader,17,162,66,149
400157,0.5940265801154779,0.11139263784750228,Granger,Republican,moderate Republican follower,0,32,0,0
400158,0.7245920712217357,0.786888272162232,Graves [MO6],Republican,moderate Republican leader,4,52,21,22
412388,0.7201485964140405,0.10047079850816512,Graves [GA14],Republican,moderate Republican follower,1,40,17,17
412661,0.956360152001298,0.4240566810325207,Grothman,Republican,conservative Republican,11,159,34,48
412278,0.758118800506193,0.8941109656160058,Guthrie,Republican,moderate Republican leader,2,83,6,6
412434,0.8376058899844397,0.4723708982372266,Harris,Republican,conservative Republican,1,84,85,85
412486,0.6116142896399205,0.4700588778506829,Herrera Beutler,Republican,rank-and-file Republican,4,77,2,2
412609,0.7369954226271751,0.44595044214495594,Hill [AR2],Republican,rank-and-file Republican,6,85,74,86
412550,0.8558809128592341,0.7569638255810337,Hudson,Republican,conservative Republican leader,4,107,158,186
412654,0.6326852962789313,0.450345710071632,Hurd,Republican,rank-and-file Republican,4,110,9,10
412226,0.7061436229867724,0.2861061338635051,Jordan,Republican,rank-and-file Republican,0,58,0,0
412421,0.6685601589399265,0.7475761580581092,Kinzinger,Republican,moderate Republican leader,9,93,42,49
412674,0.6910208901299563,0.49276688877609603,LaHood,Republican,rank-and-file Republican,10,88,33,41
412510,0.9369910080552737,0.5443675087673325,LaMalfa,Republican,conservative Republican,7,133,39,42
412191,0.8366742840198398,0.5788051290496458,Lamborn,Republican,conservative Republican,6,122,15,19
412256,0.8244731568588864,0.7271226111686567,Latta,Republican,conservative Republican leader,15,98,99,160
412445,0.8021338860406664,0.5741272371336554,Long,Republican,rank-and-file Republican,1,83,0,0
412624,0.827720432548259,0.4710277755543947,Loudermilk,Republican,conservative Republican,7,83,59,75
400247,0.6789291910621188,0.14667592320663658,Lucas,Republican,moderate Republican follower,0,39,0,0
412292,0.8446606418536426,0.6660083491014679,Luetkemeyer,Republican,conservative Republican,10,110,60,68
412293,0.28668617873566254,0.6327735027052601,Luján,Democrat,rank-and-file Democrat,15,247,129,237
400656,0.7732363406264838,0.43577286525965586,Marchant,Republican,rank-and-file Republican,3,79,5,5
412503,0.6383808750790155,0.6766395317607703,Massie,Republican,rank-and-file Republican,5,51,91,119
